2020-01-02 18:45,1.11713,1.11714,1.11663,1.11702,1497
2020-01-02 19:00,1.11702,1.11703,1.11675,1.11702,1263
2020-01-02 19:15,1.11703,1.11703,1.11678,1.11681,1406
2020-01-02 19:30,1.11682,1.11682,1.11643,1.11653,1567
2020-01-02 19:45,1.11654,1.11674,1.11642,1.11663,1395
2020-01-02 20:00,1.11662,1.11705,1.11659,1.117,1232
2020-01-02 20:15,1.117,1.11715,1.11695,1.1171,734
2020-01-02 20:30,1.1171,1.11712,1.11684,1.11684,816
2020-01-02 20:45,1.11684,1.11701,1.11667,1.11693,913
2020-01-02 21:00,1.11692,1.11723,1.11689,1.11717,612
2020-01-02 21:15,1.11717,1.11735,1.11717,1.11733,264
2020-01-02 21:30,1.11733,1.11733,1.11716,1.11717,235
2020-01-02 21:45,1.11718,1.11727,1.11712,1.11722,409
2020-01-02 22:00,1.11722,1.11726,1.11692,1.11718,452
2020-01-02 22:15,1.11718,1.11719,1.11687,1.11714,143
2020-01-02 22:30,1.11715,1.1173,1.1171,1.11718,162
2020-01-02 22:45,1.11718,1.11721,1.1171,1.11713,82
2020-01-02 23:00,1.11712,1.11732,1.11712,1.11727,354
2020-01-02 23:15,1.11727,1.11734,1.11722,1.11729,224
2020-01-02 23:30,1.1173,1.11734,1.11702,1.11708,326
2020-01-02 23:45,1.11707,1.1171,1.11701,1.11708,211
2020-01-03 00:00,1.11707,1.11738,1.11698,1.11729,441
2020-01-03 00:15,1.11729,1.11731,1.11714,1.11725,241
2020-01-03 00:30,1.11725,1.1173,1.11723,1.11725,506
2020-01-03 00:45,1.11726,1.1176,1.11725,1.11754,583
2020-01-03 01:00,1.11753,1.11779,1.11745,1.11774,387
2020-01-03 01:15,1.11774,1.11784,1.11759,1.11759,763
2020-01-03 01:30,1.11759,1.11759,1.11728,1.11729,696
2020-01-03 01:45,1.11729,1.11768,1.11722,1.11735,1489
2020-01-03 02:00,1.11735,1.11765,1.11733,1.11756,1123
2020-01-03 02:15,1.11756,1.11772,1.11741,1.11763,1665
2020-01-03 02:30,1.11763,1.11774,1.1175,1.11767,1360
2020-01-03 02:45,1.11767,1.11771,1.11718,1.11725,2051
2020-01-03 03:00,1.11725,1.11733,1.11712,1.11729,770
2020-01-03 03:15,1.11729,1.11732,1.11695,1.11718,1194
2020-01-03 03:30,1.11718,1.11725,1.11712,1.11718,747
2020-01-03 03:45,1.11718,1.11736,1.11716,1.1172,805
2020-01-03 04:00,1.1172,1.11749,1.1172,1.11745,845
2020-01-03 04:15,1.11745,1.11745,1.11733,1.11735,551
2020-01-03 04:30,1.11736,1.11742,1.11703,1.11717,708
2020-01-03 04:45,1.11717,1.11719,1.11685,1.117,650
2020-01-03 05:00,1.117,1.11706,1.11667,1.11675,1007
2020-01-03 05:15,1.11675,1.11675,1.11643,1.11663,991
2020-01-03 05:30,1.11664,1.117,1.11657,1.11689,1277
2020-01-03 05:45,1.1169,1.11701,1.11663,1.11663,752
2020-01-03 06:00,1.11663,1.11667,1.11638,1.11652,1167
2020-01-03 06:15,1.11653,1.11682,1.11643,1.11675,760
2020-01-03 06:30,1.11674,1.11693,1.11672,1.11685,454
2020-01-03 06:45,1.11686,1.11695,1.11679,1.11691,612
2020-01-03 07:00,1.11691,1.11715,1.1163,1.11633,2192
2020-01-03 07:15,1.11632,1.11643,1.11565,1.11585,2485
2020-01-03 07:30,1.11586,1.11602,1.1156,1.11574,1815
2020-01-03 07:45,1.11575,1.11594,1.11521,1.11532,2742
2020-01-03 08:00,1.11531,1.11603,1.1152,1.11585,2866
2020-01-03 08:15,1.11586,1.11604,1.11541,1.11583,2594
2020-01-03 08:30,1.11581,1.1159,1.11524,1.11534,2246
2020-01-03 08:45,1.11537,1.11541,1.11505,1.11512,4572
2020-01-03 09:00,1.11512,1.11522,1.11464,1.11468,3023
2020-01-03 09:15,1.11467,1.11474,1.1143,1.1147,2455
2020-01-03 09:30,1.1147,1.11496,1.11445,1.11454,3177
2020-01-03 09:45,1.11454,1.11456,1.114,1.11401,2883
2020-01-03 10:00,1.114,1.11433,1.11315,1.11334,3669
2020-01-03 10:15,1.11334,1.11373,1.11328,1.11348,2675
2020-01-03 10:30,1.11347,1.11357,1.11307,1.11318,2152
2020-01-03 10:45,1.11317,1.11367,1.1131,1.1136,2215
2020-01-03 11:00,1.11361,1.11361,1.11266,1.11313,2550
2020-01-03 11:15,1.11314,1.11314,1.11278,1.11297,1860
2020-01-03 11:30,1.11298,1.11312,1.11252,1.11274,2558
2020-01-03 11:45,1.11274,1.113,1.11249,1.113,2137
2020-01-03 12:00,1.113,1.11321,1.11281,1.11314,1830
2020-01-03 12:15,1.11312,1.11326,1.11286,1.11302,1719
2020-01-03 12:30,1.11302,1.11405,1.11297,1.11403,2444
2020-01-03 12:45,1.11402,1.11426,1.1136,1.11391,2122
2020-01-03 13:00,1.11392,1.11475,1.11375,1.11465,3558
2020-01-03 13:15,1.11465,1.11488,1.11452,1.11457,2410
2020-01-03 13:30,1.11458,1.11478,1.11442,1.11465,1436
2020-01-03 13:45,1.11465,1.11466,1.11373,1.11381,2956
2020-01-03 14:00,1.1138,1.11434,1.11353,1.11411,2605
2020-01-03 14:15,1.1141,1.11491,1.1141,1.11464,2448
2020-01-03 14:30,1.11465,1.11528,1.11462,1.11515,3346
2020-01-03 14:45,1.11514,1.11541,1.11495,1.11522,2782
2020-01-03 15:00,1.11525,1.11669,1.11525,1.11616,4592
2020-01-03 15:15,1.11614,1.11667,1.11592,1.1163,3135
2020-01-03 15:30,1.11631,1.1165,1.11579,1.11631,2228
2020-01-03 15:45,1.11631,1.11674,1.1156,1.11633,3325
2020-01-03 16:00,1.11634,1.11684,1.11624,1.11681,20543
2020-01-03 16:15,1.1168,1.11744,1.11677,1.11736,9592
2020-01-03 16:30,1.11735,1.11798,1.1173,1.11737,2808
2020-01-03 16:45,1.11737,1.11752,1.11711,1.11719,2009
